,0
750,111.0
751,49.0
752,66.0
753,99.0
754,89.0
755,163.0
756,132.0
757,70.0
758,138.0
759,113.0
760,56.0
761,110.0
762,74.0
763,63.0
764,108.0
765,46.0
766,70.0
767,107.0
768,100.0
769,33.0
770,78.0
771,116.0
772,130.0
773,156.0
774,311.0
775,174.0
776,186.0
777,98.0
778,211.0
779,110.0
780,152.0
781,14.0
782,111.0
783,55.0
784,77.0
785,40.0
786,73.0
787,354.0
788,180.0
789,36.0
790,80.0
791,220.0
792,51.0
793,193.0
794,133.0
795,23.0
796,80.0
797,105.0
798,83.0
799,179.0
800,89.0
801,48.0
802,292.0
803,69.0
804,260.0
805,472.0
806,57.0
807,196.0
808,50.0
809,0.0
810,42.0
811,196.0
812,85.0
813,237.0
814,55.0
815,271.0
816,122.0
817,50.0
818,89.0
819,222.0
820,201.0
821,54.0
822,97.0
823,105.0
824,589.0
825,114.0
826,80.0
827,42.0
828,233.0
829,78.0
830,242.0
831,104.0
832,53.0
833,78.0
834,102.0
835,72.0
836,92.0
837,122.0
838,77.0
839,218.0
840,60.0
841,29.0
842,42.0
843,86.0
844,62.0
845,69.0
846,51.0
847,145.0
848,51.0
849,178.0
850,84.0
851,85.0
852,76.0
853,378.0
854,56.0
855,39.0
856,51.0
857,96.0
858,98.0
859,511.0
860,80.0
861,186.0
862,35.0
863,662.0
864,228.0
865,377.0
866,95.0
867,274.0
868,271.0
869,255.0
870,79.0
871,303.0
872,190.0
873,228.0
874,96.0
875,348.0
876,185.0
877,55.0
878,66.0
879,85.0
880,117.0
881,77.0
882,111.0
883,147.0
884,83.0
885,41.0
886,55.0
887,75.0
888,119.0
889,51.0
890,514.0
891,213.0
892,49.0
893,82.0
894,183.0
895,106.0
896,241.0
897,118.0
898,104.0
899,498.0
900,141.0
901,75.0
902,64.0
903,54.0
904,102.0
905,121.0
906,78.0
907,96.0
908,133.0
909,262.0
910,58.0
911,134.0
912,48.0
913,56.0
914,101.0
915,318.0
916,97.0
917,61.0
918,55.0
919,125.0
920,154.0
921,77.0
922,90.0
923,131.0
924,116.0
925,91.0
926,93.0
927,112.0
928,67.0
929,85.0
930,153.0
931,55.0
932,83.0
933,580.0
934,126.0
935,32.0
936,74.0
937,85.0
938,124.0
939,112.0
940,41.0
941,60.0
942,59.0
943,52.0
944,39.0
945,114.0
946,55.0
947,99.0
948,46.0
949,132.0
950,183.0
951,103.0
952,188.0
953,105.0
954,89.0
955,35.0
956,171.0
957,152.0
958,191.0
959,93.0
960,264.0
961,137.0
962,110.0
963,137.0
964,55.0
965,112.0
966,94.0
967,121.0
968,121.0
969,126.0
970,101.0
971,130.0
972,176.0
973,144.0
974,128.0
975,76.0
976,102.0
977,175.0
978,100.0
979,76.0
980,43.0
981,74.0
982,73.0
983,94.0
984,345.0
985,146.0
986,103.0
987,299.0
988,146.0
989,100.0
990,87.0
991,97.0
992,71.0
993,106.0
994,112.0
995,61.0
996,106.0
997,108.0
998,292.0
999,49.0
1000,30.0
1001,55.0
1002,42.0
1003,81.0
1004,173.0
1005,45.0
1006,115.0
1007,75.0
1008,41.0
1009,56.0
1010,135.0
1011,176.0
1012,136.0
1013,72.0
1014,76.0
1015,53.0
1016,133.0
1017,291.0
1018,99.0
1019,39.0
1020,128.0
1021,104.0
1022,34.0
1023,65.0
1024,153.0
1025,112.0
1026,132.0
1027,82.0
1028,79.0
1029,132.0
1030,49.0
1031,46.0
1032,41.0
1033,104.0
1034,138.0
1035,93.0
1036,45.0
1037,143.0
1038,289.0
1039,53.0
1040,126.0
1041,113.0
1042,187.0
1043,58.0
1044,122.0
1045,52.0
1046,87.0
1047,53.0
1048,97.0
1049,77.0
1050,55.0
1051,263.0
1052,88.0
1053,86.0
1054,72.0
1055,84.0
1056,78.0
1057,62.0
1058,85.0
1059,188.0
1060,117.0
1061,91.0
1062,44.0
1063,62.0
1064,121.0
1065,148.0
1066,181.0
1067,63.0
1068,115.0
1069,64.0
1070,429.0
1071,534.0
1072,51.0
1073,88.0
1074,52.0
1075,101.0
1076,55.0
1077,111.0
1078,68.0
1079,61.0
1080,61.0
1081,55.0
1082,126.0
1083,112.0
1084,100.0
1085,82.0
1086,62.0
1087,106.0
1088,50.0
1089,417.0
1090,74.0
1091,148.0
1092,181.0
1093,114.0
1094,107.0
1095,123.0
1096,41.0
1097,172.0
1098,71.0
1099,31.0
1100,78.0
1101,105.0
1102,53.0
1103,198.0
1104,88.0
1105,66.0
1106,42.0
1107,83.0
1108,71.0
1109,210.0
1110,42.0
1111,67.0
1112,188.0
1113,212.0
1114,44.0
1115,345.0
1116,261.0
1117,95.0
1118,77.0
1119,47.0
1120,146.0
1121,68.0
1122,452.0
1123,24.0
1124,204.0
1125,70.0
1126,67.0
1127,65.0
1128,81.0
1129,94.0
1130,248.0
1131,65.0
1132,52.0
1133,79.0
1134,127.0
1135,205.0
1136,72.0
1137,63.0
1138,70.0
1139,144.0
1140,97.0
1141,73.0
1142,61.0
1143,74.0
1144,72.0
1145,191.0
1146,477.0
1147,75.0
1148,54.0
1149,347.0
1150,126.0
1151,173.0
1152,231.0
1153,59.0
1154,57.0
1155,71.0
1156,73.0
1157,47.0
1158,60.0
1159,50.0
1160,71.0
1161,65.0
1162,103.0
1163,56.0
1164,48.0
1165,89.0
1166,68.0
1167,166.0
1168,125.0
1169,60.0
1170,52.0
1171,35.0
1172,70.0
1173,165.0
1174,177.0
1175,71.0
1176,101.0
1177,227.0
1178,94.0
1179,108.0
1180,153.0
1181,38.0
1182,47.0
1183,116.0
1184,271.0
1185,74.0
1186,93.0
1187,187.0
1188,94.0
1189,369.0
1190,58.0
1191,66.0
1192,97.0
1193,180.0
1194,48.0
1195,89.0
1196,126.0
1197,100.0
1198,149.0
1199,70.0
1200,146.0
1201,27.0
1202,124.0
1203,78.0
1204,54.0
1205,75.0
1206,68.0
1207,96.0
1208,49.0
1209,60.0
1210,174.0
1211,76.0
1212,249.0
1213,109.0
1214,46.0
1215,100.0
1216,121.0
1217,171.0
1218,46.0
1219,224.0
1220,143.0
1221,62.0
1222,145.0
1223,102.0
1224,58.0
1225,452.0
1226,102.0
1227,104.0
1228,535.0
1229,60.0
1230,139.0
1231,65.0
1232,52.0
1233,29.0
1234,81.0
1235,133.0
1236,64.0
1237,118.0
1238,62.0
1239,126.0
1240,38.0
1241,55.0
1242,0.0
1243,161.0
1244,64.0
1245,55.0
1246,85.0
1247,91.0
1248,211.0
1249,172.0
1250,54.0
1251,144.0
1252,56.0
1253,47.0
1254,25.0
1255,284.0
1256,259.0
1257,225.0
1258,62.0
1259,99.0
1260,143.0
1261,101.0
1262,269.0
1263,83.0
1264,48.0
1265,82.0
1266,164.0
1267,372.0
1268,358.0
1269,82.0
1270,120.0
1271,116.0
1272,134.0
1273,60.0
1274,63.0
1275,117.0
1276,60.0
1277,48.0
1278,75.0
1279,54.0
1280,72.0
1281,56.0
1282,153.0
1283,80.0
1284,109.0
1285,92.0
1286,170.0
1287,70.0
1288,75.0
1289,85.0
1290,50.0
1291,167.0
1292,134.0
1293,49.0
1294,73.0
1295,588.0
1296,199.0
1297,145.0
1298,175.0
1299,50.0
1300,85.0
1301,451.0
1302,199.0
1303,94.0
1304,382.0
1305,269.0
1306,74.0
1307,389.0
1308,241.0
1309,251.0
1310,44.0
1311,102.0
1312,40.0
1313,94.0
1314,185.0
1315,53.0
1316,110.0
1317,48.0
1318,38.0
1319,98.0
1320,50.0
1321,153.0
1322,111.0
1323,185.0
1324,142.0
1325,346.0
1326,108.0
1327,66.0
1328,88.0
1329,40.0
1330,21.0
1331,98.0
1332,71.0
1333,84.0
1334,103.0
1335,68.0
1336,37.0
1337,127.0
1338,198.0
1339,159.0
1340,76.0
1341,85.0
1342,105.0
1343,160.0
1344,85.0
1345,880.0
1346,52.0
1347,115.0
1348,91.0
1349,457.0
1350,65.0
1351,43.0
1352,332.0
1353,192.0
1354,375.0
1355,151.0
1356,149.0
1357,151.0
1358,46.0
1359,51.0
1360,192.0
1361,37.0
1362,85.0
1363,53.0
1364,323.0
1365,170.0
1366,72.0
1367,73.0
1368,47.0
1369,158.0
1370,135.0
1371,923.0
1372,256.0
1373,60.0
1374,105.0
1375,149.0
1376,181.0
1377,77.0
1378,273.0
1379,73.0
1380,163.0
1381,77.0
1382,234.0
1383,27.0
1384,108.0
1385,61.0
1386,99.0
1387,56.0
1388,85.0
1389,41.0
1390,175.0
1391,272.0
1392,39.0
1393,481.0
1394,97.0
1395,250.0
1396,177.0
1397,44.0
1398,130.0
1399,169.0
1400,82.0
1401,102.0
1402,107.0
1403,144.0
1404,81.0
1405,71.0
1406,82.0
1407,68.0
1408,244.0
1409,119.0
1410,162.0
1411,110.0
1412,89.0
1413,47.0
1414,77.0
1415,47.0
1416,186.0
1417,106.0
1418,126.0
1419,218.0
1420,107.0
1421,95.0
1422,82.0
1423,158.0
1424,54.0
1425,608.0
1426,128.0
1427,60.0
1428,143.0
1429,48.0
1430,134.0
1431,272.0
1432,62.0
1433,495.0
1434,67.0
1435,214.0
1436,121.0
1437,120.0
1438,159.0
1439,123.0
1440,106.0
1441,51.0
1442,95.0
1443,58.0
1444,203.0
1445,255.0
1446,72.0
1447,58.0
1448,101.0
1449,73.0
1450,162.0
1451,64.0
1452,104.0
1453,128.0
1454,104.0
1455,121.0
1456,118.0
1457,65.0
1458,0.0
1459,45.0
1460,364.0
1461,0.0
1462,136.0
1463,123.0
1464,224.0
1465,105.0
1466,160.0
1467,131.0
1468,500.0
1469,77.0
1470,43.0
1471,271.0
1472,104.0
1473,181.0
1474,48.0
1475,65.0
1476,189.0
1477,215.0
1478,55.0
1479,66.0
1480,79.0
1481,85.0
1482,345.0
1483,134.0
1484,115.0
1485,44.0
1486,40.0
1487,118.0
1488,209.0
1489,86.0
1490,78.0
1491,48.0
1492,95.0
1493,183.0
1494,114.0
1495,162.0
1496,57.0
1497,65.0
1498,106.0
1499,189.0
1500,250.0
1501,137.0
1502,128.0
1503,102.0
1504,76.0
1505,53.0
1506,62.0
1507,47.0
1508,72.0
1509,46.0
1510,95.0
1511,87.0
1512,71.0
1513,166.0
1514,175.0
1515,71.0
1516,52.0
1517,70.0
